person_id,age_band,gender,region,education,digital_engagement_score,wellbeing_0_10,service_support_0_10,response_propensity,responded,invited,weight
P01692,45-54,Woman,Midlands,No degree,68.4,4.6,5.9,0.1391,1,1,1.4136250116619258
P01706,35-44,Woman,London,Degree,50.4,5.8,5.3,0.2039,1,1,0.7073530874284455
P01777,45-54,Man,North,Degree,52.4,7.9,8.0,0.2445,1,1,0.7895248043822556
P01831,55-64,Woman,Midlands,Degree,42.5,5.8,4.3,0.1542,1,1,1.005378221891577
P01966,65-74,Woman,London,Degree,43.0,8.8,6.8,0.2042,1,1,1.5509451779201586
P01979,18-24,Man,London,Degree,81.8,4.6,7.0,0.3099,1,1,0.5970708691316284
P02044,18-24,Man,London,Degree,100.0,7.7,7.5,0.533,1,1,0.5970708691316284
P02066,35-44,Woman,South,No degree,81.1,5.3,4.5,0.1969,1,1,1.1000558849386992
P02090,55-64,Woman,London,No degree,43.6,5.9,8.4,0.1131,1,1,1.2760699867664655
P02117,45-54,Man,South,Degree,69.6,3.0,7.4,0.1825,1,1,0.838955983293333
P02158,35-44,Woman,South,Degree,61.2,6.8,7.1,0.251,1,1,0.7369565702024881
P02360,25-34,Man,London,Degree,89.0,5.9,6.9,0.3965,1,1,0.5892465987076719
P02548,55-64,Woman,North,No degree,67.2,7.0,6.4,0.1874,1,1,1.2511423903002707
P02551,25-34,Man,Midlands,No degree,80.9,5.9,8.8,0.2118,1,1,1.0344220533467472
P02577,25-34,Woman,North,Degree,80.3,5.1,7.3,0.2877,1,1,0.577735865296503
P02588,45-54,Woman,North,No degree,72.1,6.5,9.6,0.1932,1,1,1.178524546062652
P02711,35-44,Man,Scotland/Wales,No degree,65.2,7.9,6.8,0.2024,1,1,1.3048178847091474
P02746,25-34,Man,Midlands,Degree,80.4,8.0,7.4,0.3916,1,1,0.6929867282321883
P02760,25-34,Woman,Midlands,No degree,96.8,8.8,10.0,0.3849,1,1,1.0344220533467472
P02767,55-64,Man,North,No degree,57.6,6.7,7.1,0.1486,1,1,1.2511423903002707
P02843,45-54,Man,South,No degree,69.5,2.7,7.6,0.1091,1,1,1.252310521327989
P02907,65-74,Woman,Midlands,Degree,43.8,5.1,6.2,0.1108,1,1,1.8239976724033413
P02969,45-54,Man,Midlands,No degree,69.5,6.3,7.4,0.1789,1,1,1.4136250116619258
P02987,18-24,Man,London,No degree,100.0,6.4,6.6,0.3484,1,1,0.8912483447067236
P03024,35-44,Man,Scotland/Wales,No degree,94.3,6.0,4.4,0.2735,1,1,1.3048178847091474
P03048,65-74,Woman,North,Degree,18.5,8.9,7.1,0.1109,1,1,1.5206479873762824
P03181,55-64,Woman,Scotland/Wales,Degree,38.5,5.9,5.0,0.1441,1,1,1.056434156336229
P03232,55-64,Woman,London,Degree,50.3,6.5,10.0,0.2222,1,1,0.8548730784146957
P03239,35-44,Woman,South,Degree,68.2,4.5,5.6,0.2153,1,1,0.7369565702024881
P03282,35-44,Woman,North,No degree,65.9,3.6,4.5,0.1148,1,1,1.0352407333175977
P03325,35-44,Non-binary / other,Midlands,No degree,62.4,5.4,6.0,0.1372,1,1,1.2417579240060994
P03328,25-34,Man,South,No degree,77.2,7.4,5.8,0.2381,1,1,0.9163799524011521
P03365,25-34,Woman,Midlands,No degree,66.0,3.2,4.7,0.1087,1,1,1.0344220533467472
P03396,45-54,Man,South,Degree,75.1,6.5,8.3,0.3084,1,1,0.838955983293333
P03407,18-24,Man,South,Degree,100.0,5.6,7.7,0.4124,1,1,0.6220589231931138
P03487,35-44,Man,South,Degree,54.2,5.2,4.0,0.1799,1,1,0.7369565702024881
P03488,25-34,Man,Midlands,Degree,79.2,6.6,9.8,0.3333,1,1,0.6929867282321883
P03571,45-54,Man,London,Degree,85.0,7.2,8.5,0.4236,1,1,0.8052551927667212
P03577,25-34,Man,South,Degree,93.8,6.3,5.6,0.4035,1,1,0.6139071986888239
P03585,18-24,Man,North,Degree,99.6,6.3,7.2,0.4374,1,1,0.5854072912387358
P03613,35-44,Woman,Midlands,No degree,69.3,4.3,3.6,0.136,1,1,1.2417579240060994
P03624,25-34,Man,Midlands,Degree,87.2,3.4,7.2,0.2664,1,1,0.6929867282321883
P03697,35-44,Man,South,Degree,80.0,6.7,7.1,0.3412,1,1,0.7369565702024881
P03722,45-54,Man,North,Degree,54.0,7.8,7.2,0.2486,1,1,0.7895248043822556
P03791,65-74,Man,North,Degree,25.1,7.5,4.7,0.1046,1,1,1.5206479873762824
P03803,65-74,Woman,Midlands,No degree,57.2,6.4,5.3,0.1088,1,1,2.7226833368084034
P03865,25-34,Woman,North,No degree,72.8,8.4,7.7,0.2481,1,1,0.8623869631624932
P03877,45-54,Man,South,No degree,61.1,7.7,5.6,0.1822,1,1,1.252310521327989
P03908,25-34,Man,Scotland/Wales,Degree,74.9,6.8,9.1,0.3177,1,1,0.7281785438068972
P03930,45-54,Man,Midlands,Degree,56.8,7.6,7.5,0.2553,1,1,0.94702483247465
P04046,25-34,Woman,South,Degree,87.7,7.9,7.0,0.4302,1,1,0.6139071986888239
P04116,45-54,Woman,London,No degree,37.1,5.6,4.7,0.0942,1,1,1.202005314149092
P04143,55-64,Man,Midlands,Degree,64.0,5.7,8.1,0.2311,1,1,1.005378221891577
P04165,35-44,Woman,North,No degree,59.8,6.2,8.5,0.1452,1,1,1.0352407333175977
P04167,18-24,Woman,London,Degree,83.1,6.4,7.1,0.3819,1,1,0.5970708691316284
P04196,18-24,Non-binary / other,Midlands,Degree,63.4,7.7,5.8,0.2898,1,1,0.7021885048292753
P04346,65-74,Man,North,Degree,60.2,8.9,7.8,0.2533,1,1,1.5206479873762824
P04351,65-74,Man,London,Degree,63.6,7.9,7.0,0.2671,1,1,1.5509451779201586
P04380,25-34,Woman,London,No degree,69.4,8.2,6.5,0.2549,1,1,0.8795690476175343
P04394,18-24,Man,Scotland/Wales,Degree,97.4,7.6,10.0,0.4759,1,1,0.7378476125060859
P04406,18-24,Woman,Midlands,Degree,97.5,7.6,7.1,0.4765,1,1,0.7021885048292753
P04440,55-64,Man,London,No degree,60.0,6.8,8.3,0.1792,1,1,1.2760699867664655
P04469,55-64,Woman,London,Degree,62.7,8.1,6.8,0.332,1,1,0.8548730784146957
P04482,18-24,Man,South,Degree,96.5,7.1,7.4,0.4507,1,1,0.6220589231931138
P04496,35-44,Woman,Midlands,Degree,60.1,7.6,5.1,0.2706,1,1,0.8318865188819854
P04627,45-54,Man,Scotland/Wales,No degree,60.2,5.0,4.4,0.124,1,1,1.4854128665738215
P04635,35-44,Woman,North,No degree,82.1,3.4,8.7,0.1564,1,1,1.0352407333175977
P04646,35-44,Woman,Scotland/Wales,No degree,63.6,5.1,7.1,0.135,1,1,1.3048178847091474
P04756,45-54,Woman,Midlands,Degree,70.5,5.8,6.7,0.2631,1,1,0.94702483247465
P04861,25-34,Man,North,Degree,85.0,9.2,6.9,0.4656,1,1,0.577735865296503
P04902,35-44,Non-binary / other,South,Degree,68.7,6.3,6.0,0.2703,1,1,0.7369565702024881
P04914,55-64,Man,Midlands,No degree,52.7,7.2,6.5,0.1439,1,1,1.5007291803873264
P04964,35-44,Man,South,No degree,65.7,6.2,5.1,0.1637,1,1,1.1000558849386992
P05094,45-54,Woman,Midlands,No degree,60.8,4.5,5.5,0.117,1,1,1.4136250116619258
P05135,25-34,Woman,North,No degree,99.5,5.0,6.3,0.2666,1,1,0.8623869631624932
P05169,18-24,Woman,Midlands,Degree,95.9,7.6,4.2,0.4669,1,1,0.7021885048292753
P05176,18-24,Man,Midlands,Degree,100.0,4.9,7.5,0.3856,1,1,0.7021885048292753
P05190,25-34,Woman,Midlands,No degree,77.9,5.0,3.6,0.1779,1,1,1.0344220533467472
P05197,35-44,Man,London,No degree,94.8,7.5,7.3,0.3601,1,1,1.055866733559916
P05225,55-64,Woman,London,No degree,65.7,5.3,5.7,0.1645,1,1,1.2760699867664655
P05245,35-44,Man,Scotland/Wales,Degree,79.4,7.1,7.9,0.3524,1,1,0.8741320565797465
P05277,25-34,Woman,Midlands,No degree,59.5,7.5,8.2,0.1719,1,1,1.0344220533467472
P05286,18-24,Woman,North,Degree,94.5,5.2,5.9,0.3659,1,1,0.5854072912387358
P05291,35-44,Woman,North,Degree,52.5,5.6,6.8,0.1833,1,1,0.6935351836258383
P05297,55-64,Man,Midlands,No degree,52.6,7.5,5.6,0.1496,1,1,1.5007291803873264
P05332,65-74,Man,South,No degree,45.7,6.6,5.7,0.0873,1,1,2.411986885348764
P05352,55-64,Woman,South,Degree,39.8,7.5,8.0,0.1832,1,1,0.89065043049051
P05366,35-44,Man,London,No degree,80.3,3.8,3.2,0.1802,1,1,1.055866733559916
P05414,35-44,Man,London,Degree,100.0,3.4,6.9,0.3645,1,1,0.7073530874284455
P05416,45-54,Man,North,Degree,74.1,4.3,5.5,0.2344,1,1,0.7895248043822556
P05432,55-64,Woman,Scotland/Wales,Degree,44.0,9.0,9.4,0.2398,1,1,1.056434156336229
P05434,25-34,Man,Scotland/Wales,No degree,75.3,5.6,5.0,0.1829,1,1,1.0869529152590018
P05481,25-34,Man,London,No degree,92.1,5.0,5.6,0.2612,1,1,0.8795690476175343
P05502,25-34,Man,Scotland/Wales,No degree,72.7,3.8,5.9,0.1362,1,1,1.0869529152590018
P05549,25-34,Woman,Scotland/Wales,Degree,85.0,6.7,8.8,0.3687,1,1,0.7281785438068972
P05555,45-54,Woman,North,Degree,93.4,7.3,9.4,0.4402,1,1,0.7895248043822556
P05618,25-34,Woman,South,Degree,70.0,7.8,8.0,0.327,1,1,0.6139071986888239
P05687,18-24,Woman,North,Degree,99.8,5.2,8.6,0.3958,1,1,0.5854072912387358
P05698,45-54,Woman,Scotland/Wales,No degree,50.2,6.1,3.3,0.1172,1,1,1.4854128665738215
P05722,25-34,Man,Midlands,Degree,75.6,6.9,7.2,0.3248,1,1,0.6929867282321883
P05762,25-34,Woman,South,Degree,52.1,4.0,5.2,0.1468,1,1,0.6139071986888239
P05798,65-74,Woman,North,Degree,50.5,5.3,8.0,0.1312,1,1,1.5206479873762824
P05845,25-34,Man,South,Degree,50.9,6.6,8.7,0.2022,1,1,0.6139071986888239
P05866,55-64,Man,Midlands,Degree,62.5,5.8,6.9,0.2276,1,1,1.005378221891577
P05894,25-34,Non-binary / other,North,No degree,82.7,7.7,5.1,0.2723,1,1,0.8623869631624932
P05912,45-54,Woman,South,No degree,57.7,7.7,6.2,0.1703,1,1,1.252310521327989
P05962,45-54,Man,North,Degree,61.2,7.4,4.8,0.2695,1,1,0.7895248043822556
P05993,45-54,Woman,Scotland/Wales,Degree,58.1,8.2,5.7,0.2802,1,1,0.9951174176445505
P06018,18-24,Man,North,Degree,67.6,5.1,6.5,0.2294,1,1,0.5854072912387358
P06042,35-44,Woman,North,Degree,77.1,7.1,8.0,0.3399,1,1,0.6935351836258383
P06077,45-54,Woman,London,Degree,54.3,7.3,8.1,0.2633,1,1,0.8052551927667212
P06112,35-44,Woman,London,No degree,86.7,6.7,4.3,0.2896,1,1,1.055866733559916
P06119,25-34,Man,South,No degree,82.4,4.1,5.4,0.1727,1,1,0.9163799524011521
P06184,65-74,Woman,South,No degree,45.3,3.9,5.4,0.0579,1,1,2.411986885348764
P06309,55-64,Man,Scotland/Wales,Degree,36.2,5.9,5.8,0.1374,1,1,1.056434156336229
P06329,55-64,Man,North,Degree,79.1,4.9,8.3,0.2754,1,1,0.8381734213821421
P06332,45-54,Man,North,Degree,66.2,7.1,5.6,0.2839,1,1,0.7895248043822556
P06386,25-34,Man,London,No degree,82.0,5.6,5.1,0.234,1,1,0.8795690476175343
P06411,25-34,Man,South,Degree,69.9,7.9,3.9,0.33,1,1,0.6139071986888239
P06534,25-34,Man,North,No degree,78.5,7.6,10.0,0.2497,1,1,0.8623869631624932
P06600,25-34,Man,South,Degree,61.0,8.3,8.3,0.2978,1,1,0.6139071986888239
P06728,35-44,Man,Scotland/Wales,Degree,80.0,5.5,7.6,0.2994,1,1,0.8741320565797465
P06746,25-34,Woman,Midlands,Degree,87.7,5.2,4.7,0.3289,1,1,0.6929867282321883
P06755,45-54,Man,North,No degree,41.1,10.0,7.3,0.1661,1,1,1.178524546062652
P06809,18-24,Man,Scotland/Wales,Degree,87.0,6.0,8.0,0.3539,1,1,0.7378476125060859
P06837,45-54,Woman,South,Degree,47.0,4.9,7.4,0.1496,1,1,0.838955983293333
P06857,45-54,Man,North,No degree,72.1,5.2,7.0,0.1628,1,1,1.178524546062652
P06875,18-24,Woman,London,Degree,78.1,5.3,7.0,0.3148,1,1,0.5970708691316284
P06901,45-54,Woman,Scotland/Wales,No degree,82.2,7.2,7.4,0.2544,1,1,1.4854128665738215
P06921,18-24,Woman,Midlands,No degree,82.1,4.3,6.0,0.1763,1,1,1.0481575554194622
P06924,25-34,Man,Scotland/Wales,Degree,77.7,6.7,7.5,0.3289,1,1,0.7281785438068972
P06934,45-54,Woman,Midlands,No degree,53.5,6.8,5.7,0.1385,1,1,1.4136250116619258
P07008,45-54,Woman,North,No degree,76.9,5.2,5.3,0.1791,1,1,1.178524546062652
P07060,35-44,Man,Midlands,Degree,81.6,5.9,7.0,0.3213,1,1,0.8318865188819854
P07078,55-64,Woman,South,Degree,36.3,7.4,6.9,0.1687,1,1,0.89065043049051
P07179,18-24,Man,South,Degree,68.7,4.3,5.3,0.212,1,1,0.6220589231931138
P07246,35-44,Man,Scotland/Wales,No degree,74.6,6.9,6.5,0.2132,1,1,1.3048178847091474
P07257,25-34,Woman,Midlands,No degree,87.8,7.0,7.0,0.2743,1,1,1.0344220533467472
P07313,18-24,Woman,Midlands,No degree,79.8,6.0,8.5,0.21,1,1,1.0481575554194622
P07323,45-54,Woman,Scotland/Wales,No degree,48.5,5.0,6.5,0.0966,1,1,1.4854128665738215
P07342,25-34,Woman,North,Degree,61.1,7.0,6.6,0.2566,1,1,0.577735865296503
P07357,45-54,Woman,North,No degree,56.6,5.3,3.9,0.1199,1,1,1.178524546062652
P07367,25-34,Man,North,Degree,92.1,8.2,5.4,0.4681,1,1,0.577735865296503
P07385,25-34,Man,North,Degree,100.0,6.8,6.4,0.4596,1,1,0.577735865296503
P07408,55-64,Woman,South,No degree,42.3,8.4,6.0,0.137,1,1,1.3294748796595566
P07481,25-34,Man,South,No degree,78.8,5.1,9.5,0.1835,1,1,0.9163799524011521
P07498,18-24,Woman,South,Degree,95.3,4.2,10.0,0.3339,1,1,0.6220589231931138
P07563,35-44,Man,Midlands,Degree,75.8,6.7,7.0,0.3189,1,1,0.8318865188819854
P07645,55-64,Man,Scotland/Wales,Degree,43.3,7.9,7.6,0.2064,1,1,1.056434156336229
P07649,35-44,Woman,Midlands,No degree,66.0,6.0,5.7,0.1603,1,1,1.2417579240060994
P07657,25-34,Man,South,Degree,83.6,6.6,8.1,0.3572,1,1,0.6139071986888239
P07670,55-64,Woman,North,Degree,54.5,4.5,7.8,0.1649,1,1,0.8381734213821421
P07745,45-54,Man,South,No degree,56.4,6.2,5.7,0.1354,1,1,1.252310521327989
P07763,55-64,Man,North,No degree,48.4,8.4,8.0,0.1552,1,1,1.2511423903002707
P07786,18-24,Woman,Midlands,Degree,77.3,7.3,8.0,0.3482,1,1,0.7021885048292753
P07837,65-74,Man,South,Degree,55.8,5.9,9.3,0.1589,1,1,1.615853891367582
P07889,25-34,Woman,North,No degree,68.2,5.0,8.6,0.1464,1,1,0.8623869631624932
P07897,55-64,Woman,Midlands,Degree,53.7,5.7,7.6,0.1901,1,1,1.005378221891577
P07971,65-74,Woman,South,Degree,65.9,7.2,4.6,0.2286,1,1,1.615853891367582
P08080,45-54,Non-binary / other,London,No degree,71.0,4.5,4.5,0.1644,1,1,1.202005314149092
P08144,18-24,Woman,London,Degree,60.3,3.2,4.2,0.1764,1,1,0.5970708691316284
P08159,18-24,Man,Scotland/Wales,No degree,82.1,3.6,6.1,0.1606,1,1,1.1013859447677783
P08169,35-44,Woman,Midlands,Degree,97.9,5.3,6.3,0.3888,1,1,0.8318865188819854
P08237,45-54,Woman,London,Degree,81.5,6.2,8.6,0.3654,1,1,0.8052551927667212
P08271,65-74,Man,North,No degree,40.3,6.7,7.5,0.0787,1,1,2.2698729274831586
P08302,45-54,Man,North,Degree,78.9,6.2,4.8,0.3177,1,1,0.7895248043822556
P08321,25-34,Woman,South,Degree,71.9,5.0,6.1,0.2452,1,1,0.6139071986888239
P08402,55-64,Man,London,Degree,66.8,6.7,6.9,0.3047,1,1,0.8548730784146957
P08422,45-54,Man,North,Degree,51.3,6.1,5.7,0.1911,1,1,0.7895248043822556
P08529,55-64,Man,Scotland/Wales,Degree,31.8,8.8,8.0,0.1856,1,1,1.056434156336229
P08556,35-44,Woman,North,Degree,70.5,5.7,6.9,0.26,1,1,0.6935351836258383
P08560,18-24,Woman,Midlands,No degree,78.0,3.9,6.1,0.1539,1,1,1.0481575554194622
P08575,35-44,Woman,North,No degree,81.2,6.5,9.5,0.2295,1,1,1.0352407333175977
P08624,25-34,Woman,North,Degree,79.9,5.5,6.4,0.2989,1,1,0.577735865296503
P08636,35-44,Woman,South,Degree,58.3,7.1,8.5,0.247,1,1,0.7369565702024881
P08648,25-34,Woman,Scotland/Wales,Degree,77.4,3.5,4.9,0.2258,1,1,0.7281785438068972
P08693,45-54,Man,London,Degree,54.8,8.5,8.5,0.3047,1,1,0.8052551927667212
P08839,18-24,Woman,North,No degree,83.0,4.1,4.9,0.1748,1,1,0.873838109125281
P08848,45-54,Woman,North,No degree,80.1,5.4,6.2,0.1957,1,1,1.178524546062652
P08945,45-54,Woman,London,No degree,88.2,7.8,7.4,0.3351,1,1,1.202005314149092
P09004,45-54,Man,North,Degree,64.9,6.5,5.2,0.2588,1,1,0.7895248043822556
P09028,18-24,Woman,South,Degree,64.6,5.1,6.1,0.2169,1,1,0.6220589231931138
P09063,55-64,Man,Midlands,No degree,56.7,6.5,8.7,0.1419,1,1,1.5007291803873264
P09108,25-34,Man,South,No degree,91.9,5.8,6.4,0.2561,1,1,0.9163799524011521
P09123,45-54,Man,London,No degree,78.0,7.2,6.6,0.2639,1,1,1.202005314149092
P09194,25-34,Man,North,No degree,81.0,3.7,3.1,0.1592,1,1,0.8623869631624932
P09201,35-44,Man,North,No degree,88.1,5.2,8.0,0.2221,1,1,1.0352407333175977
P09273,65-74,Woman,South,Degree,55.6,6.4,4.6,0.1692,1,1,1.615853891367582
P09279,25-34,Man,London,Degree,91.9,5.7,9.5,0.4055,1,1,0.5892465987076719
P09313,18-24,Man,South,No degree,64.3,6.8,8.2,0.1724,1,1,0.9285480405571193
P09323,18-24,Woman,South,No degree,86.1,5.8,5.6,0.2305,1,1,0.9285480405571193
P09327,45-54,Man,Scotland/Wales,No degree,59.1,7.3,8.0,0.1661,1,1,1.4854128665738215
P09393,18-24,Woman,South,No degree,81.9,3.6,9.4,0.16,1,1,0.9285480405571193
P09395,55-64,Man,North,No degree,66.7,6.9,6.7,0.1831,1,1,1.2511423903002707
P09397,18-24,Man,Midlands,Degree,84.3,7.9,7.5,0.4103,1,1,0.7021885048292753
P09406,18-24,Man,North,No degree,85.4,6.6,8.5,0.2508,1,1,0.873838109125281
P09433,35-44,Man,North,No degree,85.2,7.1,3.7,0.2652,1,1,1.0352407333175977
P09453,55-64,Woman,North,No degree,86.5,7.3,6.5,0.2777,1,1,1.2511423903002707
P09482,18-24,Man,London,No degree,84.8,4.7,6.5,0.2205,1,1,0.8912483447067236
P09538,65-74,Man,South,Degree,40.9,7.0,6.7,0.1361,1,1,1.615853891367582
P09589,55-64,Woman,North,Degree,63.3,3.6,6.1,0.1744,1,1,0.8381734213821421
P09661,18-24,Man,Midlands,No degree,70.9,6.1,7.9,0.1791,1,1,1.0481575554194622
P09751,45-54,Man,Midlands,Degree,57.8,6.3,5.3,0.2219,1,1,0.94702483247465
P09778,25-34,Man,North,No degree,57.3,5.3,7.6,0.1217,1,1,0.8623869631624932
P09873,18-24,Man,Midlands,No degree,81.0,4.3,8.1,0.1725,1,1,1.0481575554194622
P10000,35-44,Man,Midlands,Degree,82.9,7.7,5.9,0.3945,1,1,0.8318865188819854
P10024,25-34,Man,Midlands,Degree,87.5,5.5,7.3,0.3385,1,1,0.6929867282321883
P10079,25-34,Man,North,No degree,84.1,5.8,6.6,0.2221,1,1,0.8623869631624932
P10238,45-54,Woman,Midlands,No degree,56.8,5.9,4.5,0.1309,1,1,1.4136250116619258
P10261,18-24,Man,South,No degree,73.1,6.6,6.2,0.1995,1,1,0.9285480405571193
P10313,55-64,Woman,South,No degree,38.3,6.8,4.5,0.1004,1,1,1.3294748796595566
P10337,25-34,Man,South,Degree,69.9,6.9,5.4,0.2956,1,1,0.6139071986888239
P10345,45-54,Man,Midlands,No degree,76.5,3.2,2.5,0.1356,1,1,1.4136250116619258
P10361,45-54,Woman,South,No degree,78.1,4.7,6.3,0.1717,1,1,1.252310521327989
P10408,25-34,Man,North,No degree,80.4,6.9,6.8,0.2375,1,1,0.8623869631624932
P10494,55-64,Woman,South,No degree,48.4,6.8,7.3,0.1245,1,1,1.3294748796595566
P10514,18-24,Woman,North,Degree,80.3,8.0,7.2,0.3911,1,1,0.5854072912387358
P10516,55-64,Woman,North,No degree,48.6,9.2,4.7,0.1734,1,1,1.2511423903002707
P10578,35-44,Man,Midlands,No degree,67.3,9.1,6.7,0.2444,1,1,1.2417579240060994
P10658,35-44,Man,Midlands,Degree,75.3,9.2,6.4,0.4083,1,1,0.8318865188819854
P10687,45-54,Woman,Midlands,Degree,66.4,7.9,6.1,0.3117,1,1,0.94702483247465
P10773,55-64,Woman,South,No degree,49.7,8.3,5.8,0.1572,1,1,1.3294748796595566
P10844,45-54,Woman,North,No degree,55.0,4.5,5.3,0.1034,1,1,1.178524546062652
P10885,18-24,Man,South,No degree,71.9,7.2,4.5,0.2104,1,1,0.9285480405571193
P10906,25-34,Man,Scotland/Wales,No degree,91.6,6.7,5.8,0.283,1,1,1.0869529152590018
P10912,25-34,Man,North,Degree,96.8,6.8,9.8,0.4406,1,1,0.577735865296503
P10941,55-64,Woman,South,No degree,38.1,7.0,6.1,0.1029,1,1,1.3294748796595566
P10943,65-74,Woman,South,Degree,41.7,9.1,7.4,0.1834,1,1,1.615853891367582
P10953,18-24,Woman,North,Degree,63.5,5.0,7.7,0.2098,1,1,0.5854072912387358
P10959,18-24,Man,South,Degree,89.7,4.6,6.5,0.3184,1,1,0.6220589231931138
P11032,35-44,Man,Midlands,No degree,74.2,5.7,6.8,0.1814,1,1,1.2417579240060994
P11087,65-74,Woman,Midlands,No degree,60.4,8.6,7.0,0.1578,1,1,2.7226833368084034
P11120,45-54,Man,North,No degree,77.5,4.0,7.5,0.1545,1,1,1.178524546062652
P11150,25-34,Man,North,Degree,71.9,6.5,8.2,0.2923,1,1,0.577735865296503
P11163,35-44,Man,North,Degree,77.8,3.6,8.9,0.2303,1,1,0.6935351836258383
P11176,35-44,Woman,North,Degree,77.2,5.9,10.0,0.2988,1,1,0.6935351836258383
P11190,55-64,Man,North,Degree,62.1,4.2,7.5,0.1843,1,1,0.8381734213821421
P11191,45-54,Woman,South,Degree,63.8,4.6,8.6,0.2006,1,1,0.838955983293333
P11196,25-34,Man,Midlands,No degree,66.0,7.7,7.9,0.2004,1,1,1.0344220533467472
P11366,25-34,Woman,North,No degree,44.3,4.7,6.5,0.0843,1,1,0.8623869631624932
P11367,25-34,Man,London,No degree,81.3,6.0,8.4,0.2425,1,1,0.8795690476175343
